縣市	行政區	村里	圖號坐標	型式		
臺東縣	東河鄉	隆昌村	R3475DB41	水泥桿		
臺東縣	東河鄉	東河村	R3781EC31	水泥併桿		
臺東縣	東河鄉	東河村	R3781EC30	水泥桿		
臺東縣	東河鄉	東河村	R3781EB69	水泥桿		
臺東縣	東河鄉	東河村	R3781EC81	水泥桿		
臺東縣	東河鄉	東河村	R3781FC13	水泥桿		
臺東縣	東河鄉	東河村	R3781FC35	水泥桿		
臺東縣	東河鄉	東河村	R3781FC57	水泥併桿		
臺東縣	東河鄉	東河村	R3781FC89	水泥桿		
臺東縣	東河鄉	隆昌村	R3475DB55	水泥桿		
臺東縣	東河鄉	東河村	R3781GD01	水泥桿		
臺東縣	東河鄉	東河村	R3781GD22	水泥桿		
臺東縣	東河鄉	東河村	R3781GD55	水泥桿		
臺東縣	東河鄉	東河村	R3781GD88	水泥桿		
臺東縣	東河鄉	東河村	R3781HE10	水泥桿		
臺東縣	東河鄉	東河村	R3781HE33	水泥桿		
臺東縣	東河鄉	東河村	R3781HE66	水泥桿		
臺東縣	東河鄉	東河村	R3781HE99	水泥桿		
臺東縣	東河鄉	東河村	R3882AA23	水泥併桿		
臺東縣	東河鄉	東河村	R3882AA05	水泥桿		
臺東縣	東河鄉	東河村	R3882AA46	水泥桿		
臺東縣	東河鄉	隆昌村	R3475DB57	水泥桿		
臺東縣	東河鄉	東河村	R3882AB70	水泥併桿		
臺東縣	東河鄉	東河村	R3882AB92	水泥桿		
臺東縣	東河鄉	東河村	R3882BB15	水泥桿		
臺東縣	東河鄉	東河村	R3882BB38	水泥桿		
臺東縣	東河鄉	東河村	R3882BC61	水泥桿		
臺東縣	東河鄉	東河村	R3882BC95	水泥桿		
臺東縣	東河鄉	東河村	R3882CC09	水泥桿		
臺東縣	東河鄉	東河村	R3882CD05	水泥桿		
臺東縣	東河鄉	東河村	R3882CD19	水泥桿		
臺東縣	東河鄉	東河村	R3882CE24	水泥桿		
臺東縣	東河鄉	隆昌村	R3475DC61	水泥桿		
臺東縣	東河鄉	東河村	R3882CE28	水泥桿		
臺東縣	東河鄉	東河村	R3883CA32	水泥桿		
臺東縣	東河鄉	東河村	R3883CA36	水泥桿		
臺東縣	東河鄉	東河村	R3883CB31	水泥桿		
臺東縣	東河鄉	東河村	R3883CB44	水泥桿		
臺東縣	東河鄉	東河村	R3883CB56	水泥桿		
臺東縣	東河鄉	東河村	R3883CB60	水泥併桿		
臺東縣	東河鄉	東河村	R3883CA89	水泥桿		
臺東縣	東河鄉	東河村	R3883DB21	水泥桿		
臺東縣	東河鄉	東河村	R3883DB53	水泥桿		
臺東縣	東河鄉	東河村	R3883DB63	水泥桿		
臺東縣	東河鄉	東河村	R3883DB91	3T桿		
臺東縣	東河鄉	東河村	R3883DB9101	水泥桿		
臺東縣	東河鄉	東河村	R3883DB80	水泥桿		
