縣市	行政區	村里	圖號坐標	型式		
金門縣	金沙鎮	光前里	Z1563CB01	水泥桿		
金門縣	金沙鎮	光前里	Z1563BB80	水泥桿		
金門縣	金沙鎮	光前里	Z1563BA58	水泥桿		
金門縣	金沙鎮	光前里	Z1563BD22	水泥桿		
金門縣	金沙鎮	光前里	Z1563BD53	水泥桿		
金門縣	金沙鎮	光前里	Z1563BD95	水泥桿		
金門縣	金沙鎮	光前里	Z1563CD27	水泥桿		
金門縣	金沙鎮	光前里	Z1563CE50	水泥桿		
金門縣	金沙鎮	光前里	Z1563CE71	水泥桿		
金門縣	金城鎮	珠沙里	Z0148DE40	水泥桿		
金門縣	金城鎮	珠沙里	Z0148DE02	水泥桿		
金門縣	金城鎮	珠沙里	Z0148CE92	水泥桿		
金門縣	金城鎮	珠沙里	Z0148CD78	水泥桿		
金門縣	金城鎮	珠沙里	Z0148CD54	水泥桿		
金門縣	金城鎮	珠沙里	Z0148CD51	水泥桿		
金門縣	金城鎮	珠沙里	Z0148FD27	水泥桿		
金門縣	金城鎮	珠沙里	Z0148FD17	水泥桿		
金門縣	金城鎮	珠沙里	Z0148ED67	水泥桿		
金門縣	金城鎮	珠沙里	Z0148ED26	水泥桿		
金門縣	金城鎮	珠沙里	Z0148DD97	水泥桿		
金門縣	金城鎮	珠沙里	Z0148DD78	水泥桿		
金門縣	金城鎮	賢庵里	Z0148FD29	水泥桿		
金門縣	金城鎮	珠沙里	Z0149EC78	水泥桿		
金門縣	金城鎮	珠沙里	Z0149EC84	水泥桿		
金門縣	金城鎮	珠沙里	Z0149EB89	水泥桿		
金門縣	金城鎮	珠沙里	Z0149EB94	水泥桿		
金門縣	金城鎮	珠沙里	Z0149EA99	水泥桿		
金門縣	金城鎮	珠沙里	Z0149FA03	水泥桿		
金門縣	金城鎮	珠沙里	Z0148FE18	水泥桿		
金門縣	金城鎮	珠沙里	Z0148FE13	水泥桿		
金門縣	金湖鎮	正義里	Z0957AD90	水泥桿		
金門縣	金湖鎮	正義里	Z0957AD82	水泥桿		
金門縣	金湖鎮	正義里	Z0957BD04	水泥桿		
金門縣	金湖鎮	瓊林里	Z0957BC27	水泥桿		
金門縣	金湖鎮	瓊林里	Z0958AA72	水泥桿		
金門縣	金湖鎮	瓊林里	Z0958BA22	水泥桿		
金門縣	金湖鎮	瓊林里	Z0958BA51	水泥桿		
金門縣	金湖鎮	瓊林里	Z0857HE87	水泥併桿		
金門縣	金湖鎮	瓊林里	Z0958AD95	水泥併桿		
金門縣	金湖鎮	瓊林里	Z0958AD88	水泥併桿		
金門縣	金湖鎮	瓊林里	Z0958AA10	水泥桿		
金門縣	金湖鎮	瓊林里	Z0958AA33	水泥桿		
金門縣	金湖鎮	瓊林里	Z0958AB62	水泥桿		
金門縣	金湖鎮	瓊林里	Z0958AB78	水泥桿		
金門縣	金湖鎮	瓊林里	Z0958AC70	水泥桿		
金門縣	金湖鎮	瓊林里	Z0958AC89	水泥桿		
金門縣	金湖鎮	瓊林里	Z0958AD82	水泥桿		
金門縣	金沙鎮	三山里	Z1469HD84	木桿		
金門縣	金沙鎮	三山里	Z1470DA42	水泥桿		
金門縣	金沙鎮	三山里	Z1470DB17	水泥桿		
金門縣	金沙鎮	三山里	Z1470DB39	水泥桿		
金門縣	金沙鎮	三山里	Z1469GD83	木桿		
金門縣	金沙鎮	三山里	Z1470DC71	水泥桿		
金門縣	金沙鎮	三山里	Z1470EC23	水泥桿		
金門縣	金沙鎮	三山里	Z1470EC66	水泥桿		
金門縣	金沙鎮	三山里	Z1470FC07	水泥桿		
金門縣	金沙鎮	三山里	Z1470FC48	水泥桿		
金門縣	金沙鎮	三山里	Z1470FC99	水泥桿		
金門縣	金沙鎮	三山里	Z1470GD22	水泥桿		
金門縣	金沙鎮	三山里	Z1470GD54	水泥桿		
金門縣	金沙鎮	三山里	Z1469GE60	水泥桿		
金門縣	金沙鎮	三山里	Z1469GE05	水泥桿		
金門縣	金沙鎮	三山里	Z1469FE88	水泥桿		
金門縣	金沙鎮	三山里	Z1470FA52	木桿		
金門縣	金沙鎮	三山里	Z1470FA83	水泥桿		
金門縣	金寧鄉	安美村	Z0159AB79	水泥桿		
金門縣	金寧鄉	安美村	Z0160FB43	水泥桿		
金門縣	金寧鄉	安美村	Z0159CD23	水泥桿		
金門縣	金寧鄉	安美村	Z0159BC89	水泥桿		
金門縣	金寧鄉	安美村	Z0159BC35	水泥桿		
金門縣	金寧鄉	安美村	Z0159AC90	水泥桿		
金門縣	金寧鄉	安美村	Z0159BB28	水泥桿		
金門縣	金寧鄉	安美村	Z0159BB65	水泥桿		
金門縣	金寧鄉	安美村	Z0159CB01	水泥桿		
金門縣	金寧鄉	安美村	Z0159AB13	木桿		
金門縣	金寧鄉	安美村	Z0059HA68	水泥桿		
金門縣	金寧鄉	安美村	Z0159AA24	木桿		
金門縣	金寧鄉	安美村	Z0159AA71	水泥桿		
金門縣	金寧鄉	安美村	Z0160FB11	水泥桿		
金門縣	金寧鄉	安美村	Z0160EA77	水泥桿		
金門縣	金寧鄉	安美村	Z0160EA44	水泥桿		
金門縣	金寧鄉	安美村	Z0160DA90	水泥桿		
金門縣	金寧鄉	安美村	Z0159DE78	水泥桿		
金門縣	金寧鄉	安美村	Z0159DE22	水泥桿		
金門縣	金寧鄉	安美村	Z0159CE94	木桿		
金門縣	金寧鄉	安美村	Z0159CE67	水泥桿		
金門縣	金寧鄉	安美村	Z0159DE50	水泥桿		
金門縣	金寧鄉	安美村	Z0159DD87	水泥桿		
金門縣	金寧鄉	安美村	Z0159ED24	水泥桿		
金門縣	金寧鄉	安美村	Z0159ED33	水泥桿		
金門縣	金寧鄉	安美村	Z0159ED41	水泥桿		
金門縣	金寧鄉	安美村	Z0159DE01	水泥桿		
金門縣	金湖鎮	蓮庵里	Z1554FA42	水泥桿		
金門縣	金湖鎮	蓮庵里	Z1554FA62	水泥桿		
金門縣	金湖鎮	蓮庵里	Z1554FA92	水泥桿		
金門縣	金湖鎮	蓮庵里	Z1554FA24	水泥桿		
金門縣	金湖鎮	正義里	Z1056CE84	水泥桿		
金門縣	金湖鎮	正義里	Z1056CD38	水泥桿		
金門縣	金湖鎮	正義里	Z1056CD77	水泥桿		
金門縣	金湖鎮	正義里	Z1056DD26	水泥桿		
金門縣	金城鎮	北門里	Z0154EA55	水泥併桿		
金門縣	金城鎮	東門里	Z0154GC26	水泥桿		
金門縣	金城鎮	東門里	Z0154EA6770	水泥桿		
金門縣	金城鎮	東門里	Z0154EA99	水泥桿		
金門縣	金城鎮	東門里	Z0154FB0163	水泥桿		
金門縣	金城鎮	東門里	Z0154FB33	水泥桿		
金門縣	金城鎮	東門里	Z0154FB55	水泥桿		
金門縣	金城鎮	東門里	Z0154FB78	水泥桿		
金門縣	金城鎮	東門里	Z0154FC91	水泥桿		
金門縣	烈嶼鄉	上林村	Z8954EB21	水泥桿		
金門縣	烈嶼鄉	上林村	Z8954EB25	水泥桿		
金門縣	烈嶼鄉	上林村	Z8954EB29	水泥桿		
金門縣	烈嶼鄉	西口村	Z9054DD35	木桿		
金門縣	烈嶼鄉	上林村	Z8954HA91	木桿		
金門縣	烈嶼鄉	西口村	Z9054DD13	水泥桿		
金門縣	烈嶼鄉	西口村	Z9054DD30	水泥桿		
金門縣	烈嶼鄉	西口村	Z9054DC47	水泥桿		
金門縣	烈嶼鄉	西口村	Z9054CC29	水泥桿		
金門縣	烈嶼鄉	西口村	Z9054BD92	木桿		
金門縣	烈嶼鄉	西口村	Z9054AE91	木桿		
金門縣	烈嶼鄉	西口村	Z9054AD79	水泥桿		
